"Label (Grouping)","Population 5 years and over","Population 5 years and over!!Speak only English","Population 5 years and over!!Speak a language other than English","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish!!65 years old and over","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!65 years old and over","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!65 years old and over","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!65 years old and over","CITIZENS 18 YEARS AND OVER","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak only English","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak a language other than English","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak a language other than English!!Spanish","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak a language other than English!!Other languages"
"ZCTA5 78726","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,576","9,818","2,758","","311","42","269","0","523","71","448","4","1,398","270","1,128","0","526","216","160","150","","9,101","7,831","1,270","147","1,123"
"        Margin of Error","±1,260","±1,349","±782","","±200","±65","±160","±22","±404","±100","±336","±20","±601","±276","±433","±22","±534","±231","±148","±176","","±1,201","±1,178","±392","±130","±374"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","78.1%","21.9%","","2.5%","0.3%","2.1%","0.0%","4.2%","0.6%","3.6%","0.0%","11.1%","2.1%","9.0%","0.0%","4.2%","1.7%","1.3%","1.2%","","(X)","86.0%","14.0%","1.6%","12.3%"
"        Margin of Error","(X)","±6.2","±6.2","","±1.6","±0.5","±1.3","±0.4","±3.1","±0.8","±2.6","±0.2","±4.9","±2.2","±3.5","±0.4","±4.3","±1.8","±1.2","±1.4","","(X)","±4.3","±4.3","±1.4","±4.1"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","11,651","(X)","1,833","","233","42","191","0","336","71","261","4","937","103","834","0","327","216","111","0","","8,938","(X)","1,107","147","960"
"            Margin of Error","±1,307","(X)","±501","","±148","±65","±129","±22","±275","±100","±251","±20","±389","±108","±351","±22","±349","±231","±117","±22","","±1,198","(X)","±357","±130","±341"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","92.6%","(X)","66.5%","","74.9%","100.0%","71.0%","-","64.2%","100.0%","58.3%","100.0%","67.0%","38.1%","73.9%","-","62.2%","100.0%","69.4%","0.0%","","98.2%","(X)","87.2%","100.0%","85.5%"
"            Margin of Error","±3.8","(X)","±11.4","","±19.7","±53.8","±26.3","**","±27.6","±41.4","±37.5","±100.0","±17.5","±54.0","±14.7","**","±13.2","±18.7","±43.3","±25.5","","±1.2","(X)","±7.9","±25.9","±9.1"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","925","(X)","925","","78","0","78","0","187","0","187","0","461","167","294","0","199","0","49","150","","163","(X)","163","0","163"
"            Margin of Error","±470","(X)","±470","","±82","±22","±82","±22","±212","±22","±212","±22","±355","±257","±205","±22","±199","±22","±81","±176","","±110","(X)","±110","±22","±110"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","7.4%","(X)","33.5%","","25.1%","0.0%","29.0%","-","35.8%","0.0%","41.7%","0.0%","33.0%","61.9%","26.1%","-","37.8%","0.0%","30.6%","100.0%","","1.8%","(X)","12.8%","0.0%","14.5%"
"            Margin of Error","±3.8","(X)","±11.4","","±19.7","±53.8","±26.3","**","±27.6","±41.4","±37.5","±100.0","±17.5","±54.0","±14.7","**","±13.2","±18.7","±43.3","±25.5","","±1.2","(X)","±7.9","±25.9","±9.1"
"ZCTA5 78727","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","29,551","21,702","7,849","","2,705","188","2,280","237","1,851","90","1,533","228","2,864","341","2,253","270","429","114","298","17","","22,328","18,465","3,863","2,107","1,756"
"        Margin of Error","±1,671","±1,597","±864","","±568","±154","±499","±138","±536","±78","±473","±206","±548","±158","±429","±149","±295","±87","±209","±27","","±1,342","±1,301","±586","±492","±409"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","73.4%","26.6%","","9.2%","0.6%","7.7%","0.8%","6.3%","0.3%","5.2%","0.8%","9.7%","1.2%","7.6%","0.9%","1.5%","0.4%","1.0%","0.1%","","(X)","82.7%","17.3%","9.4%","7.9%"
"        Margin of Error","(X)","±2.8","±2.8","","±1.9","±0.5","±1.7","±0.5","±1.7","±0.3","±1.5","±0.7","±2.0","±0.5","±1.5","±0.5","±1.0","±0.3","±0.7","±0.1","","(X)","±2.5","±2.5","±2.2","±1.8"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","27,177","(X)","5,475","","2,027","67","1,785","175","1,412","59","1,240","113","1,729","253","1,444","32","307","61","229","17","","21,450","(X)","2,985","1,838","1,147"
"            Margin of Error","±1,682","(X)","±747","","±397","±52","±398","±111","±475","±55","±437","±138","±372","±122","±336","±27","±209","±71","±154","±27","","±1,334","(X)","±473","±401","±316"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","92.0%","(X)","69.8%","","74.9%","35.6%","78.3%","73.8%","76.3%","65.6%","80.9%","49.6%","60.4%","74.2%","64.1%","11.9%","71.6%","53.5%","76.8%","100.0%","","96.1%","(X)","77.3%","87.2%","65.3%"
"            Margin of Error","±1.7","(X)","±5.5","","±9.5","±35.0","±7.8","±27.8","±12.3","±29.8","±12.0","±48.4","±7.3","±19.3","±8.2","±10.4","±31.6","±53.5","±22.8","±84.6","","±1.4","(X)","±6.6","±6.8","±10.5"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","2,374","(X)","2,374","","678","121","495","62","439","31","293","115","1,135","88","809","238","122","53","69","0","","878","(X)","878","269","609"
"            Margin of Error","±511","(X)","±511","","±343","±137","±228","±77","±252","±39","±195","±153","±316","±83","±235","±140","±193","±95","±99","±30","","±309","(X)","±309","±175","±238"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","8.0%","(X)","30.2%","","25.1%","64.4%","21.7%","26.2%","23.7%","34.4%","19.1%","50.4%","39.6%","25.8%","35.9%","88.1%","28.4%","46.5%","23.2%","0.0%","","3.9%","(X)","22.7%","12.8%","34.7%"
"            Margin of Error","±1.7","(X)","±5.5","","±9.5","±35.0","±7.8","±27.8","±12.3","±29.8","±12.0","±48.4","±7.3","±19.3","±8.2","±10.4","±31.6","±53.5","±22.8","±84.6","","±1.4","(X)","±6.6","±6.8","±10.5"
"ZCTA5 78728","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,107","13,990","6,117","","3,622","617","2,918","87","1,407","189","1,094","124","733","76","571","86","355","56","299","0","","14,877","11,757","3,120","2,065","1,055"
"        Margin of Error","±1,993","±1,948","±887","","±767","±266","±632","±82","±398","±117","±306","±78","±421","±88","±272","±149","±204","±70","±168","±26","","±1,497","±1,508","±539","±496","±316"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","69.6%","30.4%","","18.0%","3.1%","14.5%","0.4%","7.0%","0.9%","5.4%","0.6%","3.6%","0.4%","2.8%","0.4%","1.8%","0.3%","1.5%","0.0%","","(X)","79.0%","21.0%","13.9%","7.1%"
"        Margin of Error","(X)","±4.6","±4.6","","±3.9","±1.3","±3.2","±0.4","±2.0","±0.6","±1.6","±0.4","±2.1","±0.4","±1.3","±0.7","±1.0","±0.4","±0.8","±0.2","","(X)","±3.9","±3.9","±3.5","±2.2"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","17,953","(X)","3,963","","2,346","543","1,719","84","776","117","576","83","562","44","432","86","279","56","223","0","","14,075","(X)","2,318","1,564","754"
"            Margin of Error","±1,903","(X)","±621","","±553","±238","±465","±85","±304","±115","±228","±55","±312","±68","±225","±149","±171","±70","±121","±26","","±1,467","(X)","±436","±407","±283"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","89.3%","(X)","64.8%","","64.8%","88.0%","58.9%","96.6%","55.2%","61.9%","52.7%","66.9%","76.7%","57.9%","75.7%","100.0%","78.6%","100.0%","74.6%","-","","94.6%","(X)","74.3%","75.7%","71.5%"
"            Margin of Error","±2.5","(X)","±6.1","","±7.8","±11.5","±9.2","±20.0","±12.7","±32.2","±14.4","±24.5","±12.6","±56.0","±14.3","±37.6","±26.4","±46.6","±27.8","**","","±1.9","(X)","±7.5","±10.2","±13.0"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","2,154","(X)","2,154","","1,276","74","1,199","3","631","72","518","41","171","32","139","0","76","0","76","0","","802","(X)","802","501","301"
"            Margin of Error","±526","(X)","±526","","±404","±80","±370","±13","±230","±47","±211","±44","±154","±59","±104","±26","±110","±26","±110","±26","","±287","(X)","±287","±258","±151"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","10.7%","(X)","35.2%","","35.2%","12.0%","41.1%","3.4%","44.8%","38.1%","47.3%","33.1%","23.3%","42.1%","24.3%","0.0%","21.4%","0.0%","25.4%","-","","5.4%","(X)","25.7%","24.3%","28.5%"
"            Margin of Error","±2.5","(X)","±6.1","","±7.8","±11.5","±9.2","±20.0","±12.7","±32.2","±14.4","±24.5","±12.6","±56.0","±14.3","±37.6","±26.4","±46.6","±27.8","**","","±1.9","(X)","±7.5","±10.2","±13.0"
"ZCTA5 78729","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","25,803","19,625","6,178","","2,432","224","1,991","217","1,475","65","1,174","236","1,651","152","1,326","173","620","0","620","0","","20,122","16,606","3,516","1,778","1,738"
"        Margin of Error","±1,604","±1,227","±1,053","","±658","±156","±507","±141","±573","±64","±374","±342","±589","±107","±525","±126","±454","±26","±454","±26","","±1,497","±1,217","±681","±543","±488"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","76.1%","23.9%","","9.4%","0.9%","7.7%","0.8%","5.7%","0.3%","4.5%","0.9%","6.4%","0.6%","5.1%","0.7%","2.4%","0.0%","2.4%","0.0%","","(X)","82.5%","17.5%","8.8%","8.6%"
"        Margin of Error","(X)","±3.3","±3.3","","±2.3","±0.6","±1.8","±0.5","±2.2","±0.2","±1.4","±1.3","±2.2","±0.4","±2.0","±0.5","±1.7","±0.2","±1.7","±0.2","","(X)","±2.8","±2.8","±2.4","±2.4"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","23,871","(X)","4,246","","1,953","195","1,634","124","793","42","734","17","938","139","799","0","562","0","562","0","","19,410","(X)","2,804","1,603","1,201"
"            Margin of Error","±1,595","(X)","±856","","±574","±149","±465","±85","±247","±41","±231","±32","±374","±100","±333","±26","±439","±26","±439","±26","","±1,466","(X)","±624","±504","±463"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","92.5%","(X)","68.7%","","80.3%","87.1%","82.1%","57.1%","53.8%","64.6%","62.5%","7.2%","56.8%","91.4%","60.3%","0.0%","90.6%","-","90.6%","-","","96.5%","(X)","79.7%","90.2%","69.1%"
"            Margin of Error","±2.2","(X)","±7.8","","±10.3","±21.6","±10.2","±45.8","±16.8","±38.2","±16.3","±22.2","±11.0","±13.7","±12.1","±22.6","±13.0","**","±13.0","**","","±1.2","(X)","±6.5","±7.6","±11.5"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","1,932","(X)","1,932","","479","29","357","93","682","23","440","219","713","13","527","173","58","0","58","0","","712","(X)","712","175","537"
"            Margin of Error","±583","(X)","±583","","±281","±46","±218","±132","±454","±38","±278","±337","±309","±22","±274","±126","±76","±26","±76","±26","","±248","(X)","±248","±143","±190"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","7.5%","(X)","31.3%","","19.7%","12.9%","17.9%","42.9%","46.2%","35.4%","37.5%","92.8%","43.2%","8.6%","39.7%","100.0%","9.4%","-","9.4%","-","","3.5%","(X)","20.3%","9.8%","30.9%"
"            Margin of Error","±2.2","(X)","±7.8","","±10.3","±21.6","±10.2","±45.8","±16.8","±38.2","±16.3","±22.2","±11.0","±13.7","±12.1","±22.6","±13.0","**","±13.0","**","","±1.2","(X)","±6.5","±7.6","±11.5"
"ZCTA5 78730","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,934","8,460","1,474","","852","91","701","60","343","13","291","39","189","11","176","2","90","0","23","67","","7,278","6,404","874","633","241"
"        Margin of Error","±1,141","±1,156","±519","","±425","±81","±351","±90","±205","±20","±194","±39","±108","±21","±100","±4","±151","±22","±39","±112","","±803","±806","±421","±382","±164"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","85.2%","14.8%","","8.6%","0.9%","7.1%","0.6%","3.5%","0.1%","2.9%","0.4%","1.9%","0.1%","1.8%","0.0%","0.9%","0.0%","0.2%","0.7%","","(X)","88.0%","12.0%","8.7%","3.3%"
"        Margin of Error","(X)","±5.1","±5.1","","±4.2","±0.8","±3.5","±0.9","±2.0","±0.2","±1.9","±0.4","±1.1","±0.2","±1.0","±0.1","±1.5","±0.5","±0.4","±1.1","","(X)","±5.6","±5.6","±5.1","±2.3"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","9,645","(X)","1,185","","724","52","612","60","309","0","270","39","129","11","118","0","23","0","23","0","","7,139","(X)","735","589","146"
"            Margin of Error","±1,148","(X)","±490","","±427","±69","±359","±90","±186","±22","±183","±39","±88","±21","±85","±22","±39","±22","±39","±22","","±825","(X)","±404","±386","±79"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","97.1%","(X)","80.4%","","85.0%","57.1%","87.3%","100.0%","90.1%","0.0%","92.8%","100.0%","68.3%","100.0%","67.0%","0.0%","25.6%","-","100.0%","0.0%","","98.1%","(X)","84.1%","93.0%","60.6%"
"            Margin of Error","±1.7","(X)","±11.1","","±14.1","±47.3","±14.3","±45.1","±15.0","±96.8","±11.8","±55.9","±22.9","±100.0","±26.1","±100.0","±2.7","**","±72.8","±42.6","","±1.9","(X)","±15.2","±9.2","±31.2"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","289","(X)","289","","128","39","89","0","34","13","21","0","60","0","58","2","67","0","0","67","","139","(X)","139","44","95"
"            Margin of Error","±165","(X)","±165","","±104","±46","±85","±22","±54","±20","±34","±22","±52","±22","±52","±4","±112","±22","±22","±112","","±133","(X)","±133","±47","±120"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","2.9%","(X)","19.6%","","15.0%","42.9%","12.7%","0.0%","9.9%","100.0%","7.2%","0.0%","31.7%","0.0%","33.0%","100.0%","74.4%","-","0.0%","100.0%","","1.9%","(X)","15.9%","7.0%","39.4%"
"            Margin of Error","±1.7","(X)","±11.1","","±14.1","±47.3","±14.3","±45.1","±15.0","±96.8","±11.8","±55.9","±22.9","±100.0","±26.1","±100.0","±2.7","**","±72.8","±42.6","","±1.9","(X)","±15.2","±9.2","±31.2"
"ZCTA5 78731","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","26,357","21,980","4,377","","1,413","259","977","177","1,115","134","931","50","1,403","87","1,256","60","446","63","299","84","","20,713","18,573","2,140","954","1,186"
"        Margin of Error","±1,603","±1,529","±695","","±369","±145","±259","±102","±467","±120","±399","±47","±350","±54","±335","±73","±237","±69","±168","±94","","±1,527","±1,426","±493","±223","±442"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","83.4%","16.6%","","5.4%","1.0%","3.7%","0.7%","4.2%","0.5%","3.5%","0.2%","5.3%","0.3%","4.8%","0.2%","1.7%","0.2%","1.1%","0.3%","","(X)","89.7%","10.3%","4.6%","5.7%"
"        Margin of Error","(X)","±2.5","±2.5","","±1.4","±0.5","±1.0","±0.4","±1.7","±0.5","±1.4","±0.2","±1.4","±0.2","±1.3","±0.3","±0.9","±0.3","±0.6","±0.4","","(X)","±2.2","±2.2","±1.1","±2.0"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","25,444","(X)","3,464","","1,321","259","885","177","1,000","104","846","50","758","54","674","30","385","63","238","84","","20,525","(X)","1,952","903","1,049"
"            Margin of Error","±1,623","(X)","±663","","±367","±145","±259","±102","±438","±100","±380","±47","±301","±42","±297","±43","±210","±69","±137","±94","","±1,518","(X)","±478","±225","±414"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","96.5%","(X)","79.1%","","93.5%","100.0%","90.6%","100.0%","89.7%","77.6%","90.9%","100.0%","54.0%","62.1%","53.7%","50.0%","86.3%","100.0%","79.6%","100.0%","","99.1%","(X)","91.2%","94.7%","88.4%"
"            Margin of Error","±1.0","(X)","±5.7","","±4.1","±15.9","±6.0","±22.2","±8.4","±37.8","±7.0","±49.3","±14.8","±29.5","±16.3","±27.6","±13.5","±44.0","±18.8","±38.1","","±0.5","(X)","±4.5","±4.4","±7.0"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","913","(X)","913","","92","0","92","0","115","30","85","0","645","33","582","30","61","0","61","0","","188","(X)","188","51","137"
"            Margin of Error","±252","(X)","±252","","±56","±26","±56","±26","±96","±58","±65","±26","±244","±33","±235","±35","±67","±26","±67","±26","","±96","(X)","±96","±40","±88"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","3.5%","(X)","20.9%","","6.5%","0.0%","9.4%","0.0%","10.3%","22.4%","9.1%","0.0%","46.0%","37.9%","46.3%","50.0%","13.7%","0.0%","20.4%","0.0%","","0.9%","(X)","8.8%","5.3%","11.6%"
"            Margin of Error","±1.0","(X)","±5.7","","±4.1","±15.9","±6.0","±22.2","±8.4","±37.8","±7.0","±49.4","±14.8","±29.5","±16.3","±27.6","±13.5","±44.0","±18.8","±38.1","","±0.5","(X)","±4.5","±4.4","±7.0"
"ZCTA5 78732","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,287","14,375","2,912","","1,141","451","668","22","1,160","352","721","87","611","183","355","73","0","0","0","0","","11,856","10,441","1,415","596","819"
"        Margin of Error","±2,566","±2,499","±876","","±645","±299","±379","±37","±591","±315","±328","±72","±272","±128","±184","±86","±22","±22","±22","±22","","±1,711","±1,678","±443","±295","±330"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","83.2%","16.8%","","6.6%","2.6%","3.9%","0.1%","6.7%","2.0%","4.2%","0.5%","3.5%","1.1%","2.1%","0.4%","0.0%","0.0%","0.0%","0.0%","","(X)","88.1%","11.9%","5.0%","6.9%"
"        Margin of Error","(X)","±5.1","±5.1","","±3.6","±1.7","±2.1","±0.2","±3.5","±1.9","±1.9","±0.4","±1.6","±0.7","±1.1","±0.5","±0.3","±0.3","±0.3","±0.3","","(X)","±3.8","±3.8","±2.5","±2.9"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","16,596","(X)","2,221","","678","194","484","0","1,025","331","607","87","518","183","311","24","0","0","0","0","","11,646","(X)","1,205","456","749"
"            Margin of Error","±2,518","(X)","±768","","±489","±229","±284","±22","±543","±314","±262","±72","±265","±128","±155","±39","±22","±22","±22","±22","","±1,691","(X)","±394","±272","±316"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","96.0%","(X)","76.3%","","59.4%","43.0%","72.5%","0.0%","88.4%","94.0%","84.2%","100.0%","84.8%","100.0%","87.6%","32.9%","-","-","-","-","","98.2%","(X)","85.2%","76.5%","91.5%"
"            Margin of Error","±1.9","(X)","±10.4","","±19.6","±35.8","±12.0","±74.4","±12.7","±11.3","±14.3","±37.4","±13.1","±21.6","±13.2","±53.2","**","**","**","**","","±1.2","(X)","±8.9","±17.3","±10.2"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","691","(X)","691","","463","257","184","22","135","21","114","0","93","0","44","49","0","0","0","0","","210","(X)","210","140","70"
"            Margin of Error","±338","(X)","±338","","±280","±182","±129","±37","±161","±34","±128","±22","±74","±22","±56","±75","±22","±22","±22","±22","","±141","(X)","±141","±101","±82"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","4.0%","(X)","23.7%","","40.6%","57.0%","27.5%","100.0%","11.6%","6.0%","15.8%","0.0%","15.2%","0.0%","12.4%","67.1%","-","-","-","-","","1.8%","(X)","14.8%","23.5%","8.5%"
"            Margin of Error","±1.9","(X)","±10.4","","±19.6","±35.8","±12.0","±74.4","±12.7","±11.3","±14.3","±37.4","±13.1","±21.6","±13.2","±53.2","**","**","**","**","","±1.2","(X)","±8.9","±17.3","±10.2"
"ZCTA5 78733","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,253","6,487","1,766","","586","186","387","13","499","133","306","60","669","121","378","170","12","0","12","0","","5,486","4,451","1,035","347","688"
"        Margin of Error","±981","±868","±523","","±261","±140","±163","±17","±185","±85","±119","±70","±432","±82","±176","±209","±21","±20","±21","±20","","±501","±465","±273","±152","±205"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","78.6%","21.4%","","7.1%","2.3%","4.7%","0.2%","6.0%","1.6%","3.7%","0.7%","8.1%","1.5%","4.6%","2.1%","0.1%","0.0%","0.1%","0.0%","","(X)","81.1%","18.9%","6.3%","12.5%"
"        Margin of Error","(X)","±5.6","±5.6","","±3.0","±1.6","±1.9","±0.2","±2.3","±1.0","±1.5","±0.8","±5.0","±1.0","±2.0","±2.5","±0.3","±0.5","±0.3","±0.5","","(X)","±4.6","±4.6","±2.6","±3.6"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","7,951","(X)","1,464","","526","152","361","13","453","128","266","59","473","121","339","13","12","0","12","0","","5,422","(X)","971","332","639"
"            Margin of Error","±934","(X)","±402","","±263","±139","±170","±17","±167","±85","±111","±69","±239","±82","±167","±20","±21","±20","±21","±20","","±503","(X)","±270","±162","±194"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","96.3%","(X)","82.9%","","89.8%","81.7%","93.3%","100.0%","90.8%","96.2%","86.9%","98.3%","70.7%","100.0%","89.7%","7.6%","100.0%","-","100.0%","-","","98.8%","(X)","93.8%","95.7%","92.9%"
"            Margin of Error","±2.5","(X)","±9.6","","±8.3","±21.3","±9.4","±96.8","±8.5","±5.8","±14.4","±10.3","±16.8","±30.1","±10.0","±22.6","±100.0","**","±100.0","**","","±0.9","(X)","±5.0","±8.6","±6.0"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","302","(X)","302","","60","34","26","0","46","5","40","1","196","0","39","157","0","0","0","0","","64","(X)","64","15","49"
"            Margin of Error","±218","(X)","±218","","±39","±25","±33","±20","±46","±8","±45","±5","±212","±20","±38","±208","±20","±20","±20","±20","","±50","(X)","±50","±26","±44"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","3.7%","(X)","17.1%","","10.2%","18.3%","6.7%","0.0%","9.2%","3.8%","13.1%","1.7%","29.3%","0.0%","10.3%","92.4%","0.0%","-","0.0%","-","","1.2%","(X)","6.2%","4.3%","7.1%"
"            Margin of Error","±2.5","(X)","±9.6","","±8.3","±21.3","±9.4","±96.8","±8.5","±5.8","±14.4","±10.3","±16.8","±30.1","±10.0","±22.6","±100.0","**","±100.0","**","","±0.9","(X)","±5.0","±8.6","±6.0"
"ZCTA5 78734","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18,984","16,744","2,240","","1,494","282","1,103","109","495","5","347","143","171","12","110","49","80","0","58","22","","14,702","13,348","1,354","738","616"
"        Margin of Error","±1,078","±1,142","±690","","±664","±212","±485","±88","±220","±11","±199","±99","±88","±22","±53","±41","±101","±22","±94","±33","","±967","±1,055","±335","±256","±250"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
