"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"        Estimate","1,885","155","1,343","95","420","430","398","241","146","387","224","163","187","92","479","479","551","551","315","315","116","84","179","95","1,379","237","4,772","32","295","149","157","78","138","71"
"        Margin of Error","±486","±140","±435","±71","±236","±201","±164","±162","±144","±217","±177","±80","±105","±80","±229","±229","±239","±239","±169","±169","±109","±94","±120","±85","±383","±172","±863","±45","±165","±122","±118","±87","±94","±57"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8.2%","71.2%","5.0%","22.3%","22.8%","21.1%","12.8%","7.7%","20.5%","22.5%","18.3%","(X)","49.2%","(X)","100.0%","(X)","100.0%","(X)","100.0%","(X)","72.4%","(X)","53.1%","(X)","17.2%","(X)","0.7%","(X)","50.5%","(X)","49.7%","(X)","51.4%"
"        Margin of Error","(X)","±7.0","±12.2","±3.8","±10.6","±7.5","±7.6","±8.6","±7.3","±10.9","±15.1","±10.1","(X)","±30.6","(X)","±9.0","(X)","±7.8","(X)","±13.3","(X)","±43.7","(X)","±33.2","(X)","±10.1","(X)","±0.9","(X)","±28.6","(X)","±42.1","(X)","±36.8"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","141","1,316","95","420","403","398","207","146","353","190","163","(X)","78","(X)","479","(X)","524","(X)","315","(X)","71","(X)","95","(X)","216","(X)","32","(X)","136","(X)","65","(X)","71"
"        Margin of Error","(X)","±138","±438","±71","±236","±199","±164","±145","±144","±204","±169","±80","(X)","±77","(X)","±229","(X)","±241","(X)","±169","(X)","±84","(X)","±85","(X)","±168","(X)","±45","(X)","±113","(X)","±77","(X)","±57"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","96.0%","91.0%","98.0%","100.0%","100.0%","93.7%","100.0%","85.9%","100.0%","91.2%","84.8%","100.0%","(X)","84.8%","(X)","100.0%","(X)","95.1%","(X)","100.0%","(X)","84.5%","(X)","100.0%","(X)","91.1%","(X)","100.0%","(X)","91.3%","(X)","83.3%","(X)","100.0%"
"        Margin of Error","±3.0","±18.1","±3.3","±35.5","±10.2","±10.1","±10.7","±15.5","±26.0","±9.4","±18.6","±23.8","(X)","±25.5","(X)","±9.0","(X)","±8.1","(X)","±13.3","(X)","±24.0","(X)","±35.5","(X)","±14.9","(X)","±61.7","(X)","±12.4","(X)","±25.4","(X)","±41.4"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","14","27","0","0","27","0","34","0","34","34","0","(X)","14","(X)","0","(X)","27","(X)","0","(X)","13","(X)","0","(X)","21","(X)","0","(X)","13","(X)","13","(X)","0"
"        Margin of Error","(X)","±22","±44","±20","±20","±44","±20","±39","±20","±39","±39","±20","(X)","±22","(X)","±20","(X)","±44","(X)","±20","(X)","±20","(X)","±20","(X)","±34","(X)","±20","(X)","±20","(X)","±20","(X)","±20"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4.0%","9.0%","2.0%","0.0%","0.0%","6.3%","0.0%","14.1%","0.0%","8.8%","15.2%","0.0%","(X)","15.2%","(X)","0.0%","(X)","4.9%","(X)","0.0%","(X)","15.5%","(X)","0.0%","(X)","8.9%","(X)","0.0%","(X)","8.7%","(X)","16.7%","(X)","0.0%"
"        Margin of Error","±3.0","±18.1","±3.3","±35.5","±10.2","±10.1","±10.7","±15.5","±26.0","±9.4","±18.6","±23.8","(X)","±25.5","(X)","±9.0","(X)","±8.1","(X)","±13.3","(X)","±24.0","(X)","±35.5","(X)","±14.9","(X)","±61.7","(X)","±12.4","(X)","±25.4","(X)","±41.4"
"ZCTA5 78726","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,275","164","2,237","84","563","709","881","677","197","874","410","464","299","115","848","584","945","924","711","711","357","357","726","224","2,876","264","6,113","96","1,083","505","683","205","400","300"
"        Margin of Error","±518","±108","±448","±118","±238","±325","±323","±240","±120","±254","±144","±214","±297","±96","±309","±232","±391","±390","±289","±289","±172","±172","±266","±126","±898","±155","±862","±75","±330","±205","±236","±88","±200","±172"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.0%","68.3%","2.6%","17.2%","21.6%","26.9%","20.7%","6.0%","26.7%","25.9%","27.4%","(X)","38.5%","(X)","68.9%","(X)","97.8%","(X)","100.0%","(X)","100.0%","(X)","30.9%","(X)","9.2%","(X)","1.6%","(X)","46.6%","(X)","30.0%","(X)","75.0%"
"        Margin of Error","(X)","±3.3","±7.2","±3.5","±6.7","±9.2","±9.0","±6.5","±3.7","±6.9","±8.5","±11.4","(X)","±51.9","(X)","±21.6","(X)","±3.8","(X)","±6.1","(X)","±11.8","(X)","±14.4","(X)","±6.1","(X)","±1.2","(X)","±13.6","(X)","±14.7","(X)","±18.1"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","69","2,202","84","529","708","881","414","120","534","207","327","(X)","32","(X)","538","(X)","923","(X)","702","(X)","246","(X)","180","(X)","134","(X)","50","(X)","350","(X)","143","(X)","207"
"        Margin of Error","(X)","±82","±441","±118","±234","±321","±323","±193","±89","±211","±121","±156","(X)","±55","(X)","±230","(X)","±387","(X)","±286","(X)","±156","(X)","±118","(X)","±103","(X)","±54","(X)","±174","(X)","±96","(X)","±125"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","85.6%","42.1%","98.4%","100.0%","94.0%","99.9%","100.0%","61.2%","60.9%","61.1%","50.5%","70.5%","(X)","27.8%","(X)","92.1%","(X)","99.9%","(X)","98.7%","(X)","68.9%","(X)","80.4%","(X)","50.8%","(X)","52.1%","(X)","69.3%","(X)","69.8%","(X)","69.0%"
"        Margin of Error","±6.9","±42.0","±2.6","±38.1","±8.0","±5.8","±5.0","±26.5","±31.3","±20.8","±25.8","±27.2","(X)","±39.4","(X)","±8.5","(X)","±4.3","(X)","±2.6","(X)","±40.4","(X)","±17.6","(X)","±29.7","(X)","±39.3","(X)","±32.3","(X)","±34.6","(X)","±37.0"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","95","35","0","34","1","0","263","77","340","203","137","(X)","83","(X)","46","(X)","1","(X)","9","(X)","111","(X)","44","(X)","130","(X)","46","(X)","155","(X)","62","(X)","93"
"        Margin of Error","(X)","±83","±58","±22","±46","±38","±22","±220","±78","±220","±131","±156","(X)","±77","(X)","±48","(X)","±38","(X)","±18","(X)","±163","(X)","±36","(X)","±115","(X)","±49","(X)","±186","(X)","±73","(X)","±133"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14.4%","57.9%","1.6%","0.0%","6.0%","0.1%","0.0%","38.8%","39.1%","38.9%","49.5%","29.5%","(X)","72.2%","(X)","7.9%","(X)","0.1%","(X)","1.3%","(X)","31.1%","(X)","19.6%","(X)","49.2%","(X)","47.9%","(X)","30.7%","(X)","30.2%","(X)","31.0%"
"        Margin of Error","±6.9","±42.0","±2.6","±38.1","±8.0","±5.8","±5.0","±26.5","±31.3","±20.8","±25.8","±27.2","(X)","±39.4","(X)","±8.5","(X)","±4.3","(X)","±2.6","(X)","±40.4","(X)","±17.6","(X)","±29.7","(X)","±39.3","(X)","±32.3","(X)","±34.6","(X)","±37.0"
"ZCTA5 78727","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,714","480","3,360","324","1,530","775","731","1,402","472","1,874","975","899","768","367","1,778","1,772","995","995","622","622","353","220","1,229","470","8,170","879","16,404","389","1,582","592","971","310","611","282"
"        Margin of Error","±568","±122","±448","±147","±369","±186","±202","±345","±174","±378","±239","±271","±211","±113","±400","±397","±212","±212","±205","±205","±140","±95","±281","±176","±827","±277","±1,121","±141","±349","±214","±250","±125","±261","±166"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8.4%","58.8%","5.7%","26.8%","13.6%","12.8%","24.5%","8.3%","32.8%","30.8%","35.3%","(X)","47.8%","(X)","99.7%","(X)","100.0%","(X)","100.0%","(X)","62.3%","(X)","38.2%","(X)","10.8%","(X)","2.4%","(X)","37.4%","(X)","31.9%","(X)","46.2%"
"        Margin of Error","(X)","±2.0","±5.4","±2.5","±5.3","±3.4","±3.4","±5.5","±2.9","±5.6","±7.0","±8.5","(X)","±14.3","(X)","±1.5","(X)","±4.4","(X)","±7.0","(X)","±23.9","(X)","±9.8","(X)","±3.2","(X)","±0.8","(X)","±10.4","(X)","±12.4","(X)","±15.2"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","230","2,902","300","1,358","676","568","1,222","388","1,610","864","746","(X)","186","(X)","1,536","(X)","850","(X)","546","(X)","195","(X)","388","(X)","792","(X)","249","(X)","555","(X)","297","(X)","258"
"        Margin of Error","(X)","±93","±434","±148","±376","±173","±191","±323","±164","±358","±227","±249","(X)","±97","(X)","±390","(X)","±207","(X)","±199","(X)","±93","(X)","±171","(X)","±269","(X)","±104","(X)","±215","(X)","±123","(X)","±164"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","83.0%","47.9%","86.4%","92.6%","88.8%","87.2%","77.7%","87.2%","82.2%","85.9%","88.6%","83.0%","(X)","50.7%","(X)","86.7%","(X)","85.4%","(X)","87.8%","(X)","88.6%","(X)","82.6%","(X)","90.1%","(X)","64.0%","(X)","93.8%","(X)","95.8%","(X)","91.5%"
"        Margin of Error","±3.6","±15.0","±5.1","±9.0","±6.1","±8.7","±12.1","±7.1","±10.2","±5.7","±7.6","±9.6","(X)","±18.1","(X)","±5.9","(X)","±8.5","(X)","±9.2","(X)","±12.8","(X)","±12.4","(X)","±7.1","(X)","±17.4","(X)","±7.6","(X)","±6.3","(X)","±14.5"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","250","458","24","172","99","163","180","84","264","111","153","(X)","181","(X)","236","(X)","145","(X)","76","(X)","25","(X)","82","(X)","87","(X)","140","(X)","37","(X)","13","(X)","24"
"        Margin of Error","(X)","±96","±179","±27","±83","±72","±92","±106","±49","±110","±78","±89","(X)","±76","(X)","±100","(X)","±87","(X)","±58","(X)","±29","(X)","±56","(X)","±62","(X)","±88","(X)","±44","(X)","±19","(X)","±39"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17.0%","52.1%","13.6%","7.4%","11.2%","12.8%","22.3%","12.8%","17.8%","14.1%","11.4%","17.0%","(X)","49.3%","(X)","13.3%","(X)","14.6%","(X)","12.2%","(X)","11.4%","(X)","17.4%","(X)","9.9%","(X)","36.0%","(X)","6.3%","(X)","4.2%","(X)","8.5%"
"        Margin of Error","±3.6","±15.0","±5.1","±9.0","±6.1","±8.7","±12.1","±7.1","±10.2","±5.7","±7.6","±9.6","(X)","±18.1","(X)","±5.9","(X)","±8.5","(X)","±9.2","(X)","±12.8","(X)","±12.4","(X)","±7.1","(X)","±17.4","(X)","±7.6","(X)","±6.3","(X)","±14.5"
"ZCTA5 78728","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,680","234","2,930","118","987","778","1,047","1,162","354","1,516","593","923","532","180","1,137","1,117","1,143","1,143","611","611","288","225","1,082","248","4,921","532","10,925","624","1,370","360","596","153","774","207"
"        Margin of Error","±1,006","±134","±800","±65","±243","±265","±670","±505","±191","±616","±215","±524","±187","±103","±295","±294","±432","±432","±360","±360","±154","±146","±370","±117","±878","±238","±1,223","±477","±380","±146","±168","±98","±328","±126"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.0%","62.6%","2.5%","21.1%","16.6%","22.4%","24.8%","7.6%","32.4%","29.8%","34.3%","(X)","33.8%","(X)","98.2%","(X)","100.0%","(X)","100.0%","(X)","78.1%","(X)","22.9%","(X)","10.8%","(X)","5.7%","(X)","26.3%","(X)","25.7%","(X)","26.7%"
"        Margin of Error","(X)","±3.0","±10.1","±1.5","±6.4","±5.1","±11.6","±8.9","±3.8","±10.8","±10.5","±15.7","(X)","±15.6","(X)","±3.0","(X)","±3.9","(X)","±7.1","(X)","±21.7","(X)","±11.1","(X)","±4.7","(X)","±4.2","(X)","±11.3","(X)","±15.3","(X)","±17.4"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","110","2,349","114","935","704","596","777","279","1,056","568","488","(X)","110","(X)","995","(X)","891","(X)","350","(X)","225","(X)","248","(X)","448","(X)","248","(X)","360","(X)","153","(X)","207"
"        Margin of Error","(X)","±78","±463","±65","±237","±239","±244","±254","±161","±353","±211","±196","(X)","±78","(X)","±276","(X)","±252","(X)","±145","(X)","±146","(X)","±117","(X)","±207","(X)","±161","(X)","±146","(X)","±98","(X)","±126"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","75.1%","47.0%","80.2%","96.6%","94.7%","90.5%","56.9%","66.9%","78.8%","69.7%","95.8%","52.9%","(X)","61.1%","(X)","89.1%","(X)","78.0%","(X)","57.3%","(X)","100.0%","(X)","100.0%","(X)","84.2%","(X)","39.7%","(X)","100.0%","(X)","100.0%","(X)","100.0%"
"        Margin of Error","±13.3","±29.1","±17.5","±7.1","±4.8","±12.0","±38.7","±30.9","±19.7","±25.5","±5.6","±35.8","(X)","±28.8","(X)","±6.6","(X)","±21.9","(X)","±35.3","(X)","±18.0","(X)","±16.5","(X)","±14.6","(X)","±42.7","(X)","±11.7","(X)","±25.1","(X)","±19.4"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","124","581","4","52","74","451","385","75","460","25","435","(X)","70","(X)","122","(X)","252","(X)","261","(X)","0","(X)","0","(X)","84","(X)","376","(X)","0","(X)","0","(X)","0"
"        Margin of Error","(X)","±106","±616","±7","±47","±102","±606","±470","±83","±506","±33","±508","(X)","±65","(X)","±78","(X)","±315","(X)","±318","(X)","±26","(X)","±26","(X)","±90","(X)","±470","(X)","±26","(X)","±26","(X)","±26"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","24.9%","53.0%","19.8%","3.4%","5.3%","9.5%","43.1%","33.1%","21.2%","30.3%","4.2%","47.1%","(X)","38.9%","(X)","10.9%","(X)","22.0%","(X)","42.7%","(X)","0.0%","(X)","0.0%","(X)","15.8%","(X)","60.3%","(X)","0.0%","(X)","0.0%","(X)","0.0%"
"        Margin of Error","±13.3","±29.1","±17.5","±7.1","±4.8","±12.0","±38.7","±30.9","±19.7","±25.5","±5.6","±35.8","(X)","±28.8","(X)","±6.6","(X)","±21.9","(X)","±35.3","(X)","±18.0","(X)","±16.5","(X)","±14.6","(X)","±42.7","(X)","±11.7","(X)","±25.1","(X)","±19.4"
"ZCTA5 78729","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,532","500","2,998","277","1,106","773","842","1,447","587","2,034","1,115","919","716","346","1,324","1,303","1,108","1,099","659","659","779","577","1,513","549","6,404","586","14,016","413","2,292","1,043","1,273","638","1,019","405"
"        Margin of Error","±644","±178","±518","±130","±377","±183","±226","±403","±359","±549","±413","±341","±193","±146","±397","±397","±252","±252","±202","±202","±373","±341","±367","±223","±804","±300","±1,155","±161","±530","±410","±422","±358","±262","±185"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","9.0%","54.2%","5.0%","20.0%","14.0%","15.2%","26.2%","10.6%","36.8%","38.6%","34.8%","(X)","48.3%","(X)","98.4%","(X)","99.2%","(X)","100.0%","(X)","74.1%","(X)","36.3%","(X)","9.2%","(X)","2.9%","(X)","45.5%","(X)","50.1%","(X)","39.7%"
"        Margin of Error","(X)","±3.1","±7.8","±2.3","±6.2","±3.2","±4.1","±6.3","±6.2","±8.3","±10.9","±11.1","(X)","±18.4","(X)","±2.5","(X)","±1.3","(X)","±6.6","(X)","±17.3","(X)","±10.4","(X)","±4.6","(X)","±1.2","(X)","±10.8","(X)","±18.4","(X)","±13.4"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","190","2,656","230","997","668","761","1,312","413","1,725","933","792","(X)","129","(X)","1,067","(X)","981","(X)","607","(X)","537","(X)","452","(X)","461","(X)","337","(X)","935","(X)","570","(X)","365"
"        Margin of Error","(X)","±140","±490","±94","±366","±160","±221","±382","±301","±467","±347","±312","(X)","±123","(X)","±364","(X)","±220","(X)","±199","(X)","±335","(X)","±196","(X)","±277","(X)","±142","(X)","±388","(X)","±334","(X)","±178"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","82.6%","38.0%","88.6%","83.0%","90.1%","86.4%","90.4%","90.7%","70.4%","84.8%","83.7%","86.2%","(X)","37.3%","(X)","81.9%","(X)","89.3%","(X)","92.1%","(X)","93.1%","(X)","82.3%","(X)","78.7%","(X)","81.6%","(X)","89.6%","(X)","89.3%","(X)","90.1%"
"        Margin of Error","±4.7","±20.2","±6.7","±22.1","±7.8","±10.5","±8.9","±6.1","±21.9","±7.8","±11.7","±10.9","(X)","±25.1","(X)","±10.4","(X)","±8.2","(X)","±9.0","(X)","±11.4","(X)","±14.3","(X)","±20.4","(X)","±13.2","(X)","±8.3","(X)","±12.0","(X)","±14.0"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","310","342","47","109","105","81","135","174","309","182","127","(X)","217","(X)","236","(X)","118","(X)","52","(X)","40","(X)","97","(X)","125","(X)","76","(X)","108","(X)","68","(X)","40"
"        Margin of Error","(X)","±120","±211","±75","±88","±89","±77","±90","±151","±189","±150","±107","(X)","±91","(X)","±150","(X)","±100","(X)","±60","(X)","±57","(X)","±90","(X)","±125","(X)","±61","(X)","±85","(X)","±76","(X)","±57"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17.4%","62.0%","11.4%","17.0%","9.9%","13.6%","9.6%","9.3%","29.6%","15.2%","16.3%","13.8%","(X)","62.7%","(X)","18.1%","(X)","10.7%","(X)","7.9%","(X)","6.9%","(X)","17.7%","(X)","21.3%","(X)","18.4%","(X)","10.4%","(X)","10.7%","(X)","9.9%"
"        Margin of Error","±4.7","±20.2","±6.7","±22.1","±7.8","±10.5","±8.9","±6.1","±21.9","±7.8","±11.7","±10.9","(X)","±25.1","(X)","±10.4","(X)","±8.2","(X)","±9.0","(X)","±11.4","(X)","±14.3","(X)","±20.4","(X)","±13.2","(X)","±8.3","(X)","±12.0","(X)","±14.0"
"ZCTA5 78730","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,507","213","1,969","279","456","652","582","187","138","325","130","195","135","116","764","713","880","871","351","351","150","150","150","87","1,325","176","6,314","43","300","106","144","41","156","65"
"        Margin of Error","±494","±139","±426","±161","±205","±246","±213","±131","±112","±175","±130","±126","±107","±104","±308","±288","±284","±280","±131","±131","±86","±86","±101","±69","±385","±156","±712","±38","±132","±76","±89","±46","±97","±60"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8.5%","78.5%","11.1%","18.2%","26.0%","23.2%","7.5%","5.5%","13.0%","9.8%","16.6%","(X)","85.9%","(X)","93.3%","(X)","99.0%","(X)","100.0%","(X)","100.0%","(X)","58.0%","(X)","13.3%","(X)","0.7%","(X)","35.3%","(X)","28.5%","(X)","41.7%"
"        Margin of Error","(X)","±5.4","±7.4","±5.8","±7.7","±8.4","±7.3","±5.0","±4.4","±6.5","±9.2","±9.5","(X)","±21.2","(X)","±7.6","(X)","±1.8","(X)","±12.0","(X)","±25.5","(X)","±35.3","(X)","±10.3","(X)","±0.6","(X)","±19.6","(X)","±23.3","(X)","±31.1"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","37","1,551","147","374","614","416","151","138","289","94","195","(X)","37","(X)","402","(X)","795","(X)","289","(X)","84","(X)","65","(X)","176","(X)","29","(X)","84","(X)","19","(X)","65"
"        Margin of Error","(X)","±41","±392","±104","±180","±246","±190","±128","±112","±172","±123","±126","(X)","±41","(X)","±172","(X)","±282","(X)","±125","(X)","±69","(X)","±60","(X)","±156","(X)","±32","(X)","±68","(X)","±30","(X)","±60"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","74.9%","17.4%","78.8%","52.7%","82.0%","94.2%","71.5%","80.7%","100.0%","88.9%","72.3%","100.0%","(X)","31.9%","(X)","56.4%","(X)","91.3%","(X)","82.3%","(X)","56.0%","(X)","74.7%","(X)","100.0%","(X)","67.4%","(X)","79.2%","(X)","46.3%","(X)","100.0%"
"        Margin of Error","±9.2","±20.5","±8.4","±30.8","±16.8","±7.2","±14.7","±25.8","±27.2","±14.7","±40.5","±20.4","(X)","±37.5","(X)","±20.2","(X)","±9.8","(X)","±17.0","(X)","±32.9","(X)","±38.1","(X)","±22.3","(X)","±45.0","(X)","±32.8","(X)","±53.7","(X)","±43.3"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","176","418","132","82","38","166","36","0","36","36","0","(X)","79","(X)","311","(X)","76","(X)","62","(X)","66","(X)","22","(X)","0","(X)","14","(X)","22","(X)","22","(X)","0"
"        Margin of Error","(X)","±130","±177","±123","±85","±45","±92","±43","±22","±43","±43","±22","(X)","±91","(X)","±218","(X)","±84","(X)","±63","(X)","±58","(X)","±36","(X)","±22","(X)","±21","(X)","±36","(X)","±36","(X)","±22"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","25.1%","82.6%","21.2%","47.3%","18.0%","5.8%","28.5%","19.3%","0.0%","11.1%","27.7%","0.0%","(X)","68.1%","(X)","43.6%","(X)","8.7%","(X)","17.7%","(X)","44.0%","(X)","25.3%","(X)","0.0%","(X)","32.6%","(X)","20.8%","(X)","53.7%","(X)","0.0%"
"        Margin of Error","±9.2","±20.5","±8.4","±30.8","±16.8","±7.2","±14.7","±25.8","±27.2","±14.7","±40.5","±20.4","(X)","±37.5","(X)","±20.2","(X)","±9.8","(X)","±17.0","(X)","±32.9","(X)","±38.1","(X)","±22.3","(X)","±45.0","(X)","±32.8","(X)","±53.7","(X)","±43.3"
"ZCTA5 78731","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,243","506","3,486","263","1,331","934","958","1,072","1,179","2,251","1,284","967","544","449","1,568","1,545","1,276","1,254","719","678","267","216","1,580","680","5,497","1,048","15,450","373","1,847","830","980","474","867","356"
"        Margin of Error","±663","±143","±442","±119","±301","±191","±179","±299","±317","±449","±365","±222","±136","±130","±337","±339","±226","±228","±148","±135","±106","±96","±453","±205","±909","±278","±1,048","±194","±459","±226","±267","±180","±366","±143"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8.1%","55.8%","4.2%","21.3%","15.0%","15.3%","17.2%","18.9%","36.1%","38.5%","33.2%","(X)","82.5%","(X)","98.5%","(X)","98.3%","(X)","94.3%","(X)","80.9%","(X)","43.0%","(X)","19.1%","(X)","2.4%","(X)","44.9%","(X)","48.4%","(X)","41.1%"
"        Margin of Error","(X)","±2.2","±5.3","±1.7","±4.3","±2.9","±3.1","±3.9","±4.6","±5.1","±7.9","±5.8","(X)","±10.3","(X)","±1.9","(X)","±2.1","(X)","±6.8","(X)","±16.0","(X)","±12.9","(X)","±5.4","(X)","±1.2","(X)","±11.4","(X)","±14.5","(X)","±12.4"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","128","2,386","212","884","576","714","1,016","982","1,998","1,140","858","(X)","128","(X)","1,018","(X)","851","(X)","479","(X)","179","(X)","638","(X)","897","(X)","322","(X)","779","(X)","444","(X)","335"
"        Margin of Error","(X)","±78","±318","±111","±196","±136","±171","±290","±282","±414","±331","±210","(X)","±78","(X)","±213","(X)","±174","(X)","±118","(X)","±94","(X)","±199","(X)","±248","(X)","±190","(X)","±219","(X)","±175","(X)","±138"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","72.3%","25.3%","68.4%","80.6%","66.4%","61.7%","74.5%","94.8%","83.3%","88.8%","88.8%","88.7%","(X)","28.5%","(X)","65.9%","(X)","67.9%","(X)","70.6%","(X)","82.9%","(X)","93.8%","(X)","85.6%","(X)","86.3%","(X)","93.9%","(X)","93.7%","(X)","94.1%"
"        Margin of Error","±4.9","±12.9","±6.8","±14.9","±12.8","±11.7","±10.0","±4.2","±10.4","±5.8","±8.8","±6.4","(X)","±14.0","(X)","±11.3","(X)","±10.4","(X)","±10.8","(X)","±13.4","(X)","±5.7","(X)","±11.4","(X)","±12.7","(X)","±5.0","(X)","±7.1","(X)","±5.2"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
