"Label (Grouping)","Families","Families!!With related children of householder under 18 years","Families!!With related children of householder under 18 years!!With related children of householder under 5 years","Families!!With related children of householder under 18 years!!With related children of householder under 5 years and 5 to 17 years","Families!!With related children of householder under 18 years!!With related children of householder 5 to 17  years","Families!!RACE AND HISPANIC OR LATINO ORIGIN","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Black or African American alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!American Indian and Alaska Native alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Asian alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Native Hawaiian and Other Pacific Islander alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Some other race alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Two or more races","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Hispanic or Latino origin (of any race)","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone, not Hispanic or Latino","Families!!Householder worked","Families!!Householder worked!!Householder worked full-time, year-round in the past 12 months","Families!!Householder 65 years and over","Families!!Family received --","Families!!Family received --!!Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months","Families!!Family received --!!Social security income in the past 12 months","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college, associate's degree","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No child","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 children","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 children","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more children","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No own child of the householder","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 own children of the householder","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 own children of the householder","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more own children of the householder","Families!!NUMBER OF PEOPLE IN FAMILY","Families!!NUMBER OF PEOPLE IN FAMILY!!2 people","Families!!NUMBER OF PEOPLE IN FAMILY!!3 or 4 people","Families!!NUMBER OF PEOPLE IN FAMILY!!5 or 6 people","Families!!NUMBER OF PEOPLE IN FAMILY!!7 or more people","Families!!NUMBER OF WORKERS IN FAMILY","Families!!NUMBER OF WORKERS IN FAMILY!!No workers","Families!!NUMBER OF WORKERS IN FAMILY!!1 worker","Families!!NUMBER OF WORKERS IN FAMILY!!2 workers","Families!!NUMBER OF WORKERS IN FAMILY!!3 or more workers","Families!!INCOME DEFICIT","Families!!INCOME DEFICIT!!Mean income deficit for families (dollars)","Families!!TENURE","Families!!TENURE!!Owner occupied","Families!!TENURE!!Renter Occupied","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!300 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!400 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!500 percent of poverty level"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","11.2%","14.9%","12.6%","26.0%","9.8%","","","5.6%","30.4%","0.0%","3.8%","-","16.9%","20.2%","15.9%","1.5%","8.0%","3.8%","9.6%","","28.8%","14.5%","","29.1%","18.5%","13.4%","2.9%","","6.9%","10.2%","29.1%","85.7%","","8.5%","9.0%","31.3%","87.1%","","10.2%","8.8%","21.8%","27.6%","","45.4%","19.5%","2.7%","0.0%","","(X)","","2.1%","23.8%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±2.2","±3.7","±7.0","±7.1","±5.4","","","±2.0","±8.7","±57.4","±5.7","**","±10.5","±20.7","±4.5","±1.0","±2.2","±2.2","±5.0","","±16.6","±8.0","","±11.4","±7.5","±6.4","±1.7","","±3.7","±3.3","±11.3","±22.4","","±3.1","±3.5","±14.4","±20.5","","±4.2","±3.4","±9.8","±19.0","","±16.3","±4.8","±1.8","±5.9","","(X)","","±1.2","±5.5","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","5,381","2,489","724","776","989","","","4,032","359","22","197","0","394","377","1,551","3,101","4,236","3,062","914","","362","1,103","","708","716","491","3,466","","2,892","2,032","396","61","","3,109","1,868","344","60","","2,421","2,206","587","167","","388","1,186","3,340","467","","N","","3,737","1,644","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±547","±340","±205","±167","±241","","","±457","±105","±32","±71","±30","±181","±177","±268","±430","±446","±345","±285","","±186","±313","","±249","±210","±140","±446","","±455","±333","±127","±48","","±445","±323","±120","±48","","±440","±336","±179","±84","","±158","±284","±431","±173","","N","","±361","±349","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","6.9%","7.4%","3.2%","16.0%","3.7%","","","4.6%","14.8%","0.0%","4.1%","-","10.4%","21.2%","15.2%","0.8%","4.4%","4.5%","2.2%","","24.6%","9.1%","","30.8%","14.7%","0.0%","1.3%","","6.4%","2.5%","19.9%","88.5%","","6.0%","2.7%","23.0%","90.0%","","6.5%","3.5%","13.5%","32.3%","","30.9%","14.2%","2.4%","0.0%","","(X)","","0.7%","20.7%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±2.7","±3.5","±3.9","±9.6","±5.2","","","±2.2","±13.3","±74.4","±6.1","**","±11.3","±25.5","±6.7","±0.7","±2.2","±2.8","±2.3","","±28.7","±10.5","","±17.7","±10.1","±8.8","±1.1","","±4.2","±2.6","±13.6","±20.6","","±3.9","±2.7","±15.0","±19.8","","±5.0","±2.9","±9.4","±21.2","","±25.1","±7.3","±1.9","±9.2","","(X)","","±0.6","±8.9","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female householder, no spouse present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","1,843","1,425","387","296","742","","","868","631","15","6","0","302","21","770","436","1,395","895","284","","240","334","","444","363","503","533","","418","1,032","391","2","","706","840","295","2","","620","1,014","180","29","","180","1,061","355","247","","N","","680","1,163","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±372","±367","±228","±128","±252","","","±271","±173","±23","±12","±30","±178","±34","±275","±154","±339","±282","±103","","±106","±116","","±215","±149","±216","±163","","±130","±305","±203","±7","","±172","±291","±193","±7","","±166","±326","±102","±36","","±86","±268","±139","±192","","N","","±238","±294","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","25.8%","31.4%","31.3%","58.8%","20.6%","","","12.2%","41.0%","0.0%","0.0%","-","29.8%","100.0%","24.2%","7.1%","19.6%","3.4%","34.2%","","49.6%","34.4%","","32.9%","33.6%","26.8%","13.7%","","6.7%","28.2%","40.2%","0.0%","","19.7%","24.9%","43.4%","0.0%","","24.8%","22.6%","51.7%","0.0%","","77.2%","29.3%","7.3%","0.0%","","(X)","","9.9%","35.2%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±7.5","±10.9","±24.9","±21.8","±11.3","","","±6.5","±13.4","±90.1","±100.0","**","±24.2","±76.1","±11.6","±7.1","±7.9","±4.2","±18.1","","±21.7","±17.8","","±16.2","±17.3","±15.7","±12.2","","±7.4","±11.9","±23.1","±100.0","","±8.9","±13.3","±33.0","±100.0","","±10.7","±11.8","±25.1","±64.8","","±15.7","±9.9","±8.1","±16.6","","(X)","","±7.5","±10.4","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"ZCTA5 78724","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","5,246","3,958","865","866","2,227","","","1,672","1,438","50","36","0","1,627","423","3,295","501","4,447","3,063","572","","465","805","","1,600","1,530","1,345","771","","1,288","2,903","944","111","","1,787","2,646","756","57","","1,420","2,352","1,153","321","","210","2,085","1,856","1,095","","10,889","","3,385","1,861","","360","1,155","1,602","2,207","2,433","3,683","4,195","4,628"
"            Margin of Error","±513","±497","±387","±226","±383","","","±356","±247","±33","±37","±26","±351","±315","±467","±148","±514","±491","±162","","±181","±246","","±324","±321","±436","±176","","±246","±489","±237","±71","","±265","±504","±248","±55","","±269","±375","±390","±134","","±94","±338","±322","±313","","±2,201","","±401","±411","","±153","±259","±311","±374","±413","±498","±511","±521"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","15.8%","19.6%","8.1%","40.1%","16.1%","","","14.2%","9.1%","24.0%","0.0%","-","23.0%","16.8%","20.5%","4.4%","15.2%","8.7%","7.0%","","17.8%","5.0%","","29.9%","14.2%","7.7%","3.4%","","4.0%","12.8%","36.8%","51.4%","","6.5%","15.1%","33.7%","100.0%","","12.0%","13.8%","20.8%","29.0%","","53.8%","25.3%","9.4%","1.1%","","(X)","","8.2%","29.6%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±4.3","±5.5","±6.4","±13.3","±7.1","","","±7.2","±8.0","±31.9","±58.2","**","±9.5","±24.0","±6.1","±8.4","±4.8","±4.5","±7.7","","±18.6","±5.4","","±11.3","±6.8","±8.2","±5.7","","±4.2","±6.1","±13.6","±35.1","","±3.5","±7.2","±16.2","±46.2","","±8.1","±6.0","±11.2","±22.4","","±25.4","±9.9","±5.1","±1.9","","(X)","","±3.8","±12.3","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","3,007","2,186","378","517","1,291","","","941","472","36","36","0","1,234","288","2,120","334","2,623","2,110","276","","92","413","","961","836","731","479","","821","1,658","463","65","","959","1,611","394","43","","592","1,324","827","264","","81","656","1,441","829","","8,342","","2,275","732","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±436","±410","±293","±185","±316","","","±207","±147","±27","±37","±26","±324","±287","±390","±79","±431","±396","±132","","±60","±203","","±273","±252","±330","±131","","±209","±413","±198","±56","","±208","±421","±185","±47","","±153","±294","±362","±127","","±69","±196","±265","±304","","±3,070","","±376","±337","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","8.9%","10.6%","0.0%","24.0%","8.4%","","","1.7%","0.0%","33.3%","0.0%","-","19.5%","0.0%","12.7%","0.0%","8.6%","5.8%","4.7%","","3.3%","3.1%","","17.9%","9.7%","0.0%","3.3%","","4.5%","6.5%","17.5%","66.2%","","3.9%","6.7%","20.6%","100.0%","","6.3%","7.7%","4.5%","35.2%","","29.6%","20.3%","7.8%","0.0%","","(X)","","6.9%","15.3%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±4.4","±5.5","±11.2","±15.4","±6.8","","","±2.1","±9.1","±41.8","±58.2","**","±9.8","±14.4","±6.2","±12.6","±4.7","±5.0","±7.1","","±7.0","±4.7","","±12.3","±8.5","±6.0","±4.5","","±5.4","±5.4","±16.6","±48.6","","±4.6","±5.6","±19.5","±53.2","","±7.5","±6.6","±4.3","±26.5","","±41.6","±14.3","±6.0","±5.3","","(X)","","±4.6","±13.3","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female householder, no spouse present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","1,890","1,535","378","326","831","","","636","841","14","0","0","264","135","1,014","104","1,550","763","234","","368","312","","512","597","512","269","","355","1,055","434","46","","672","889","315","14","","629","892","312","57","","111","1,212","314","253","","12,759","","857","1,033","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±298","±276","±233","±153","±234","","","±255","±226","±22","±26","±26","±117","±135","±295","±73","±290","±288","±86","","±181","±97","","±160","±234","±245","±99","","±182","±248","±161","±45","","±176","±256","±170","±26","","±247","±223","±170","±46","","±65","±276","±163","±138","","±3,319","","±210","±257","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","27.2%","32.6%","15.6%","68.4%","26.4%","","","32.7%","13.4%","0.0%","-","-","46.6%","52.6%","37.5%","21.2%","27.3%","15.7%","3.8%","","21.7%","2.9%","","53.7%","21.1%","20.3%","3.7%","","3.9%","22.3%","58.1%","30.4%","","9.1%","31.5%","50.8%","100.0%","","16.5%","24.9%","60.6%","0.0%","","64.0%","31.6%","15.6%","4.7%","","(X)","","8.9%","42.5%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±10.2","±12.3","±14.8","±21.2","±16.0","","","±18.5","±13.9","±93.3","**","**","±26.6","±51.8","±16.3","±34.8","±12.3","±14.8","±10.8","","±23.2","±8.0","","±23.1","±17.9","±20.7","±13.6","","±8.0","±14.1","±20.9","±52.0","","±4.5","±17.9","±22.7","±93.3","","±16.3","±12.3","±27.6","±46.2","","±28.7","±15.0","±12.5","±8.8","","(X)","","±6.0","±18.0","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"ZCTA5 78725","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","2,172","900","154","232","514","","","902","538","0","0","0","589","143","1,035","601","1,756","1,188","425","","138","773","","415","700","349","708","","1,272","546","344","10","","1,382","547","233","10","","1,167","627","339","39","","199","921","771","281","","N","","1,804","368","","75","287","354","573","659","863","1,237","1,397"
"            Margin of Error","±387","±205","±111","±111","±190","","","±333","±138","±20","±20","±20","±167","±215","±249","±324","±424","±229","±331","","±112","±372","","±203","±215","±148","±407","","±439","±188","±159","±32","","±430","±193","±139","±32","","±437","±225","±145","±59","","±137","±405","±187","±168","","N","","±415","±201","","±106","±184","±206","±232","±231","±230","±281","±295"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","5.4%","5.8%","0.0%","18.1%","1.9%","","","2.5%","12.1%","-","-","-","4.9%","0.0%","5.0%","0.0%","3.0%","3.3%","0.0%","","0.0%","8.4%","","9.4%","9.3%","3.7%","0.0%","","5.1%","0.0%","12.2%","100.0%","","6.8%","0.0%","5.6%","100.0%","","5.6%","2.1%","0.0%","100.0%","","32.7%","2.5%","3.8%","0.0%","","(X)","","2.3%","20.4%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±5.4","±7.1","±24.9","±21.6","±6.4","","","±4.0","±18.1","**","**","**","±8.8","±26.5","±6.1","±7.2","±3.7","±5.0","±10.0","","±27.2","±14.3","","±14.7","±14.1","±6.3","±6.2","","±8.3","±7.9","±16.4","±100.0","","±8.1","±7.9","±10.6","±100.0","","±9.1","±3.3","±12.4","±55.9","","±42.8","±4.2","±6.4","±14.8","","(X)","","±3.0","±24.1","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","1,624","584","101","161","322","","","748","347","0","0","0","386","143","729","535","1,296","812","337","","109","642","","297","438","238","651","","1,040","367","217","0","","1,121","354","149","0","","902","441","252","29","","179","552","716","177","","N","","1,363","261","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±415","±171","±71","±93","±168","","","±329","±162","±20","±20","±20","±142","±215","±231","±314","±423","±205","±319","","±113","±367","","±174","±174","±128","±403","","±440","±171","±124","±20","","±431","±167","±113","±20","","±437","±188","±125","±49","","±134","±377","±191","±120","","N","","±434","±169","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","5.8%","5.0%","0.0%","18.0%","0.0%","","","0.0%","18.7%","-","-","-","7.5%","0.0%","4.0%","0.0%","2.2%","3.6%","0.0%","","0.0%","10.1%","","9.8%","14.8%","0.0%","0.0%","","6.3%","0.0%","13.4%","-","","8.4%","0.0%","0.0%","-","","7.2%","0.0%","0.0%","100.0%","","36.3%","0.0%","4.1%","0.0%","","(X)","","2.1%","24.9%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±6.9","±8.6","±34.2","±28.5","±13.0","","","±5.8","±28.5","**","**","**","±13.1","±26.5","±6.7","±8.1","±3.9","±6.1","±12.5","","±32.4","±17.5","","±17.3","±21.7","±17.1","±6.7","","±10.3","±11.5","±23.3","**","","±10.0","±11.9","±25.6","**","","±11.9","±9.7","±16.3","±64.8","","±45.8","±7.8","±6.9","±22.2","","(X)","","±3.6","±33.0","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female householder, no spouse present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","352","134","14","28","92","","","139","191","0","0","0","22","0","110","66","264","223","88","","29","102","","19","209","82","42","","218","96","28","10","","218","96","28","10","","212","115","15","10","","20","202","55","75","","N","","327","25","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±158","±108","±23","±32","±99","","","±89","±120","±20","±20","±20","±27","±20","±81","±59","±145","±137","±77","","±36","±80","","±40","±150","±68","±41","","±120","±97","±32","±32","","±120","±97","±32","±32","","±130","±127","±24","±32","","±33","±127","±56","±111","","N","","±153","±40","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","6.5%","17.2%","0.0%","46.4%","10.9%","","","16.5%","0.0%","-","-","-","0.0%","-","20.9%","0.0%","8.7%","4.5%","0.0%","","0.0%","0.0%","","52.6%","0.0%","15.9%","0.0%","","0.0%","0.0%","46.4%","100.0%","","0.0%","0.0%","46.4%","100.0%","","0.0%","11.3%","0.0%","100.0%","","0.0%","11.4%","0.0%","0.0%","","(X)","","4.0%","40.0%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±9.2","±24.7","±93.3","±53.6","±33.0","","","±22.8","±20.8","**","**","**","±74.4","**","±28.3","±43.0","±12.7","±13.9","±37.1","","±64.8","±33.9","","±52.6","±19.2","±25.6","±53.8","","±18.5","±35.3","±53.6","±100.0","","±18.5","±35.3","±53.6","±100.0","","±19.0","±24.6","±90.1","±100.0","","±78.0","±15.8","±47.1","±40.3","","(X)","","±6.3","±60.0","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"ZCTA5 78726","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","3,198","2,171","410","160","1,601","","","2,383","0","43","501","0","49","222","340","2,161","2,694","1,665","249","","102","407","","25","19","675","2,479","","1,027","1,968","203","0","","1,181","1,814","203","0","","1,176","1,884","86","52","","101","1,017","1,860","220","","6,782","","2,165","1,033","","24","178","206","277","352","695","1,128","1,291"
"            Margin of Error","±440","±414","±313","±143","±287","","","±429","±22","±68","±213","±22","±64","±233","±225","±409","±411","±442","±133","","±155","±282","","±41","±38","±311","±404","","±298","±377","±194","±22","","±366","±319","±194","±22","","±330","±452","±78","±58","","±66","±339","±342","±138","","±3,451","","±421","±302","","±53","±245","±248","±271","±268","±326","±344","±371"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","5.6%","8.2%","42.9%","0.0%","0.1%","","","7.5%","-","0.0%","0.0%","-","0.0%","0.0%","0.6%","8.1%","0.9%","1.3%","0.0%","","0.0%","37.8%","","0.0%","0.0%","3.3%","6.3%","","0.0%","9.0%","0.0%","-","","13.0%","1.3%","0.0%","-","","0.0%","9.4%","0.0%","0.0%","","0.0%","17.5%","0.0%","0.0%","","(X)","","7.1%","2.3%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±7.4","±10.7","±43.0","±24.2","±2.5","","","±10.0","**","±53.2","±8.6","**","±49.9","±18.2","±13.0","±10.8","±1.9","±2.1","±16.5","","±33.9","±43.0","","±69.8","±80.1","±5.1","±9.7","","±4.3","±11.6","±19.7","**","","±19.4","±2.9","±19.7","**","","±3.8","±11.9","±37.6","±48.4","","±34.2","±21.3","±2.4","±18.4","","(X)","","±10.8","±5.0","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","2,530","1,613","122","160","1,331","","","1,827","0","43","501","0","49","110","226","1,607","2,209","1,438","220","","77","228","","25","19","456","2,030","","917","1,522","91","0","","917","1,522","91","0","","852","1,540","86","52","","101","460","1,773","196","","-","","1,865","665","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±373","±319","±111","±143","±310","","","±386","±22","±68","±213","±22","±64","±156","±140","±353","±373","±356","±117","","±154","±120","","±41","±38","±246","±313","","±269","±330","±80","±22","","±269","±330","±80","±22","","±261","±316","±78","±58","","±66","±183","±335","±137","","**","","±276","±316","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","0.0%","0.0%","0.0%","0.0%","0.0%","","","0.0%","-","0.0%","0.0%","-","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","0.0%","0.0%","","0.0%","0.0%","0.0%","0.0%","","0.0%","0.0%","0.0%","-","","0.0%","0.0%","0.0%","-","","0.0%","0.0%","0.0%","0.0%","","0.0%","0.0%","0.0%","0.0%","","(X)","","0.0%","0.0%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±1.8","±2.7","±29.9","±24.2","±3.3","","","±2.4","**","±53.2","±8.6","**","±49.9","±32.2","±18.0","±2.8","±2.0","±3.1","±18.4","","±39.8","±17.8","","±69.8","±80.1","±9.4","±2.2","","±4.8","±2.9","±36.4","**","","±4.8","±2.9","±36.4","**","","±5.1","±2.9","±37.6","±48.4","","±34.2","±9.3","±2.5","±20.3","","(X)","","±2.4","±6.5","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female householder, no spouse present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
